player_id,player_name,fifa_overall,fifa_potential,fifa_passing,fifa_dribbling,fifa_vision,fifa_reactions,fifa_shooting,fifa_pace,fifa_physic,fifa_defending
3517,Aaron Ramsey,76,76,78.0,79.0,79,73,71.0,51.0,62.0,65.0
136306,Abdul Fatawu Issahaku,67,86,63.0,73.0,57,65,68.0,82.0,53.0,35.0
51094,Abdulelah Al Amri,71,76,50.0,48.0,41,68,30.0,70.0,82.0,68.0
5245,Achraf Hakimi Mouh,84,87,79.0,80.0,77,81,75.0,92.0,78.0,75.0
28239,Adam Hložek,76,86,72.0,77.0,78,76,75.0,78.0,78.0,31.0
31031,Adil Aouchiche,71,78,71.0,73.0,73,69,63.0,68.0,60.0,56.0
31744,Adrian Beck,67,71,67.0,63.0,68,66,63.0,64.0,67.0,62.0
3375,Adrien Thomasson,76,76,77.0,77.0,78,77,72.0,69.0,70.0,65.0
48425,Alan Virginius,67,84,58.0,71.0,58,55,57.0,90.0,40.0,27.0
41115,Alejandro Baena Rodríguez,75,82,73.0,74.0,75,71,74.0,76.0,62.0,59.0
5177,Aleksandr Golovin,79,80,78.0,82.0,79,77,72.0,77.0,66.0,60.0
6299,Aleksey Miranchuk,77,78,76.0,80.0,79,78,72.0,76.0,61.0,31.0
23452,Alex Král,75,80,71.0,75.0,71,73,70.0,71.0,78.0,72.0
30681,Ali Abdi,70,70,65.0,69.0,64,70,60.0,84.0,73.0,61.0
23874,Ali Gholizadeh,73,74,68.0,76.0,72,70,68.0,76.0,69.0,48.0
33401,Amine Adli,74,83,67.0,80.0,68,69,72.0,86.0,54.0,40.0
5243,Amine Harit,77,80,73.0,81.0,77,74,62.0,82.0,49.0,40.0
5732,Andreas Evald Cornelius,75,75,61.0,64.0,69,75,75.0,67.0,81.0,36.0
17042,Andreas Skov Olsen,76,83,72.0,77.0,68,66,75.0,86.0,68.0,39.0
5460,Andrej Kramarić,81,81,77.0,83.0,81,84,80.0,71.0,72.0,30.0
22343,Angel Gomes,74,82,73.0,78.0,74,73,70.0,77.0,60.0,68.0
