player_id,player_name,obpi_mean,obpi_median,obpi_matches,obpi_team_names,fifa_player_id,fifa_short_name,fifa_long_name,fifa_positions,fifa_club_name,fifa_league_name,fifa_nationality_name,fifa_version,fifa_update,fifa_update_date,fifa_overall,fifa_potential,fifa_pace,fifa_shooting,fifa_passing,fifa_dribbling,fifa_defending,fifa_physic,fifa_vision,fifa_reactions,match_type,match_confidence
3441,Nikola Vlašić,0.8178335517316626,0.8178335517316626,1,Croatia,241095,N. Vlašić,Nikola Vlašić,"CF, LM, CAM",Torino,Serie A,Croatia,23,9,2023-01-13,78,81,79.0,76.0,75.0,81.0,47.0,69.0,77,76,exact_name,1.0
105848,Ismaël Gharbi,0.7908207695611845,0.7908207695611845,1,Paris Saint-Germain,263194,I. Gharbi,Ismaël Gharbi,"LW, CAM",Paris Saint Germain,Ligue 1,Spain,23,9,2023-01-13,64,78,68.0,55.0,60.0,72.0,40.0,38.0,64,55,exact_name,1.0
24841,Ricard Puig Martí,0.7635911318257336,0.7635911318257336,2,Barcelona,242816,Riqui Puig,Ricard Puig Martí,CM,LA Galaxy,Major League Soccer,Spain,23,9,2023-01-13,75,83,65.0,64.0,73.0,80.0,58.0,49.0,80,73,exact_name,1.0
31955,Jakub Kamiński,0.7575262111373086,0.7575262111373086,1,Poland,252495,J. Kamiński,Jakub Kamiński,"LM, LW",VfL Wolfsburg,Bundesliga,Poland,23,9,2023-01-13,74,84,89.0,67.0,66.0,77.0,47.0,58.0,71,60,exact_name,1.0
5477,Ousmane Dembélé,0.7567638893744866,0.7567638893744866,1,France,231443,O. Dembélé,Ousmane Dembélé,"RW, LW",FC Barcelona,La Liga,France,23,9,2023-01-13,83,86,93.0,77.0,79.0,87.0,36.0,56.0,81,78,exact_name,1.0
48425,Alan Virginius,0.749277057464194,0.749277057464194,1,Lille,257319,A. Virginius,Alan Virginius,RM,Lille,Ligue 1,France,23,9,2023-01-13,67,84,90.0,57.0,58.0,71.0,27.0,40.0,58,55,exact_name,1.0
18360,Rafael Alexandre Conceição Leão,0.7480759327528274,0.7480759327528274,1,Portugal,241721,Rafael Leão,Rafael Alexandre Conceição Leão,"LW, LM",Milan,Serie A,Portugal,23,9,2023-01-13,84,90,91.0,77.0,73.0,86.0,27.0,74.0,74,83,exact_name,1.0
8784,Romano Schmid,0.725867744762848,0.725867744762848,1,Austria,239701,R. Schmid,Romano Christian Schmid,"CAM, CM",Werder Bremen,Bundesliga,Austria,23,9,2023-01-13,73,79,79.0,64.0,69.0,78.0,51.0,56.0,70,69,token_containment,0.94
3233,Raheem Sterling,0.7156737640302863,0.7156737640302863,1,England,202652,R. Sterling,Raheem Sterling,"LW, RW, ST",Chelsea,Premier League,England,23,9,2023-01-13,85,85,90.0,79.0,78.0,86.0,45.0,67.0,80,89,exact_name,1.0
66886,Mostafa Mohamed Ahmed Abdallah,0.714318808341293,0.714318808341293,1,Nantes,254247,M. Mohamed,Mostafa Mohamed Ahmed Abdallah,ST,Nantes,Ligue 1,Egypt,23,9,2023-01-13,74,79,70.0,74.0,57.0,69.0,38.0,79.0,57,67,exact_name,1.0
9929,Diogo José Teixeira da Silva,0.7076011471232952,0.7076011471232952,1,Portugal,224458,Diogo Jota,Diogo José Teixeira da Silva,"CF, LW",Liverpool,Premier League,Portugal,23,9,2023-01-13,85,88,85.0,83.0,75.0,85.0,57.0,77.0,77,87,exact_name,1.0
5536,Yussuf Yurary Poulsen,0.7074824790393694,0.7074824790393694,2,Denmark,207791,Y. Poulsen,Yussuf Yurary Poulsen,ST,RB Leipzig,Bundesliga,Denmark,23,9,2023-01-13,77,77,78.0,71.0,67.0,74.0,56.0,81.0,71,82,exact_name,1.0
