M1,M2,M3,M4,M5,M6,M7,M8,M9
0.0,1.7282037,-1.2328705,0.7838975,1.1416004,1.2709976,1.8847315,0.0,-1.3412751
0.0,1.1781515,0.85296977,0.846025,-0.2558598,1.385267,1.4660901,0.0,1.3776164
0.0,1.5375693,-1.4050282,1.0917335,1.325127,1.1973555,-1.2758288,0.0,-0.19223651
0.0,-0.8174186,-0.9426422,0.21870339,-0.11138354,0.1378327,-1.5991791,0.0,-2.1202772
0.0,-1.1389997,-1.278144,-0.32979485,0.49296156,0.7875206,-0.23848669,0.0,-1.5771768
0.0,-0.45289522,-1.219288,-0.35681024,-0.7128544,0.69909954,-1.3224686,0.0,-1.5689775
0.0,-1.1492219,0.7044785,0.83956105,-1.1462615,1.5513779,1.4534457,0.0,1.4351472
0.0,-1.541048,0.5901382,-1.0634612,-1.2988627,0.726462,0.1590876,0.0,-1.640781
0.0,1.5001227,0.95293796,0.74321103,-0.16041216,0.47377092,1.5841844,0.0,1.2983528
0.0,0.024993941,-1.2926743,-0.41920787,1.175464,-1.4181987,-1.2892722,0.0,-1.8202072
0.0,-1.1373332,0.6010803,-1.0445163,-1.3006704,-1.9275962,-1.3837813,0.0,1.8002706
0.0,-0.54184854,-1.3542887,-0.17519452,-1.1662636,-0.42418718,1.3812137,0.0,-1.6507226
0.0,1.8406224,-1.3731364,0.903244,0.4978558,1.4965011,1.4073485,0.0,-1.3910306
0.0,1.1947345,0.8098028,0.7903035,-1.5393637,1.2663021,1.3214977,0.0,1.3575692
0.0,1.4150974,0.38117865,-0.076426834,-1.6153424,1.4561782,0.8511481,0.0,1.5675445
0.0,1.5521035,0.95121896,-0.0749682,0.67506653,1.0488169,0.6857028,0.0,1.65468
0.0,-0.1994486,-1.120506,-0.35734525,-1.8189068,0.65453684,-0.9323741,0.0,-0.63093096
0.0,-0.9631167,-0.8186408,-0.7650041,-1.049604,-1.2470069,-1.1795514,0.0,-1.4439737
0.0,0.40306997,0.8917717,1.2491984,1.2191352,1.6164116,-0.66819215,0.0,-1.1753294
0.0,1.4018487,0.9219481,-0.078166805,1.2633966,1.1789721,-0.4281739,0.0,2.024026
0.0,0.04215756,1.0031198,0.87357074,0.20359275,1.4794269,-0.27848256,0.0,2.5170445
0.0,0.99384725,0.9247997,0.96009225,0.21113048,1.422843,0.46333304,0.0,1.8851943
0.0,0.83096397,-0.7149531,-0.1124902,-0.33702224,1.7113975,2.0193813,0.0,1.5330245
0.0,-0.19081809,-1.5566968,0.34809333,1.1373131,1.3000894,1.4217439,0.0,1.7810647
0.0,-0.93299145,-1.0709835,-0.29806414,-1.3489519,1.0667331,-0.34767914,0.0,-1.9006143
